shipment_id,disaster_id,disaster_type,item_id,item_name,category,subcategory,quantity_requested,quantity_shipped,quantity_received,warehouse,region,ship_date,arrival_date,transport_mode,supplier,unit_cost,total_cost,delay_days,shortage_flag,MyUnknownColumn,lead_time_days,delay_flag,cost_per_unit,anomaly_flag
SHP0001,DR-4339,Hurricane,1001,Water Bottles,Food & Water,Beverage,5000,4800,4700,ATLANTA,Region IV,9/12/2017,9/15/2017,Truck,Blueriver logistics,0.5,2400,3,1,,3,1,0.5,0
SHP0002,DR-4339,Hurricane,2003,Meal Kits,Food & Water,Meal,3000,3000,2950,ATLANTA,Region IV,9/13/2017,9/16/2017,Truck,Blueriver logistics,1.2,3600,4,1,,3,1,1.2,0
SHP0003,DR-4339,Hurricane,3002,Tarps,Shelter,Protection,1500,1500,1500,DALLAS,Region VI,9/13/2017,9/17/2017,Truck,Safecover inc,3.5,5250,4,0,,4,1,3.5,0
SHP0004,DR-4339,Hurricane,4001,Generators,Power,Equipment,200,180,175,DALLAS,Region VI,9/14/2017,9/20/2017,Truck,Powergrid supply,450,81000,7,1,,6,1,450,0
SHP0005,DR-4339,Hurricane,5002,Blankets,Shelter,Warmth,4000,4000,3980,ATLANTA,Region IV,9/14/2017,9/17/2017,Truck,Comfortco,2,8000,3,1,,3,1,2,0
SHP0006,DR-4339,Hurricane,6001,Diapers,Medical,Infant Care,2500,2400,2380,ATLANTA,Region IV,9/15/2017,9/18/2017,Truck,Careplus supply,0.3,720,4,1,,3,1,0.3,0
SHP0007,DR-4339,Hurricane,7001,First Aid Kits,Medical,Emergency,1200,1200,1180,DALLAS,Region VI,9/15/2017,9/19/2017,Truck,Medrelief inc,5,6000,4,1,,4,1,5,0
SHP0008,DR-4339,Hurricane,8001,Flashlights,Power,Lighting,1800,1750,1700,DALLAS,Region VI,9/16/2017,9/21/2017,Truck,Powergrid supply,3,5250,6,1,,5,1,3,0
SHP0009,DR-4339,Hurricane,9001,Batteries,Power,Accessories,5000,4900,4850,ATLANTA,Region IV,9/16/2017,9/19/2017,Truck,Powergrid supply,0.8,3920,3,1,,3,1,0.8,0
SHP0010,DR-4339,Hurricane,1002,Water Jugs,Food & Water,Beverage,3000,3000,3000,ATLANTA,Region IV,9/17/2017,9/18/2017,Truck,Blueriver logistics,0.6,1800,2,0,,1,1,0.6,0
SHP0011,DR-4339,Hurricane,2004,Meal Bars,Food & Water,Meal,4000,3900,3850,ATLANTA,Region IV,9/17/2017,9/20/2017,Truck,Blueriver logistics,0.9,3510,3,1,,3,1,0.9,0
SHP0012,DR-4339,Hurricane,3003,Tents,Shelter,Protection,800,780,770,DALLAS,Region VI,9/18/2017,9/22/2017,Truck,Safecover inc,25,19500,5,1,,4,1,25,0
SHP0013,DR-4339,Hurricane,4002,Portable Heaters,Power,Equipment,300,290,285,DALLAS,Region VI,9/18/2017,9/24/2017,Truck,Powergrid supply,120,34800,6,1,,6,1,120,0
SHP0014,DR-4339,Hurricane,5003,Winter Coats,Shelter,Warmth,2000,2000,1980,ATLANTA,Region IV,9/19/2017,9/21/2017,Truck,Comfortco,15,30000,3,1,,2,1,15,0
SHP0015,DR-4339,Hurricane,6002,Baby Formula,Medical,Infant Care,1500,1450,1400,ATLANTA,Region IV,9/19/2017,9/23/2017,Truck,Careplus supply,1.5,2175,4,1,,4,1,1.5,0
SHP0016,DR-4339,Hurricane,7002,Medical Gloves,Medical,Emergency,5000,5000,4980,DALLAS,Region VI,9/20/2017,9/22/2017,Truck,Medrelief inc,0.1,500,3,1,,2,1,0.1,0
SHP0017,DR-4339,Hurricane,8002,Lanterns,Power,Lighting,1000,980,950,DALLAS,Region VI,9/20/2017,9/25/2017,Truck,Powergrid supply,8,7840,5,1,,5,1,8,0
SHP0018,DR-4339,Hurricane,9002,Extension Cords,Power,Accessories,1500,1480,1450,ATLANTA,Region IV,9/21/2017,9/23/2017,Truck,Powergrid supply,2,2960,3,1,,2,1,2,0
SHP0019,DR-4339,Hurricane,1003,Water Tanks,Food & Water,Beverage,100,95,90,ATLANTA,Region IV,9/21/2017,9/26/2017,Truck,Blueriver logistics,50,4750,5,1,,5,1,50,0
SHP0020,DR-4339,Hurricane,2005,Meal Pouches,Food & Water,Meal,3500,3400,3350,ATLANTA,Region IV,9/22/2017,9/24/2017,Truck,Blueriver logistics,1.1,3740,3,1,,2,1,1.1,0
SHP0021,DR-4339,Hurricane,3004,Shelter Kits,Shelter,Protection,900,880,870,DALLAS,Region VI,9/22/2017,9/27/2017,Truck,Safecover inc,30,26400,5,1,,5,1,30,0
SHP0022,DR-4339,Hurricane,4003,Power Banks,Power,Equipment,1500,1450,1400,DALLAS,Region VI,9/23/2017,9/28/2017,Truck,Powergrid supply,12,17400,6,1,,5,1,12,0
SHP0023,DR-4339,Hurricane,5004,Comforters,Shelter,Warmth,2500,2500,2480,ATLANTA,Region IV,9/23/2017,9/26/2017,Truck,Comfortco,18,45000,3,1,,3,1,18,0
SHP0024,DR-4339,Hurricane,6003,Baby Wipes,Medical,Infant Care,3000,2950,2900,ATLANTA,Region IV,9/24/2017,9/27/2017,Truck,Careplus supply,0.2,590,4,1,,3,1,0.2,0
SHP0025,DR-4339,Hurricane,7003,Bandages,Medical,Emergency,4000,4000,3980,DALLAS,Region VI,9/24/2017,9/27/2017,Truck,Medrelief inc,0.05,200,3,1,,3,1,0.05,0
SHP0026,DR-4339,Hurricane,8003,LED Lights,Power,Lighting,2000,1950,1900,DALLAS,Region VI,9/25/2017,9/30/2017,Truck,Powergrid supply,4,7800,6,1,,5,1,4,0
SHP0027,DR-4339,Hurricane,9003,Power Strips,Power,Accessories,1800,1750,1700,ATLANTA,Region IV,9/25/2017,9/28/2017,Truck,Powergrid supply,3,5250,3,1,,3,1,3,0
SHP0028,DR-4339,Hurricane,1004,Water Filters,Food & Water,Beverage,1200,1180,1150,ATLANTA,Region IV,9/26/2017,9/29/2017,Truck,Blueriver logistics,2.5,2950,4,1,,3,1,2.5,0
SHP0029,DR-4339,Hurricane,2006,Protein Bars,Food & Water,Meal,5000,4900,4850,ATLANTA,Region IV,9/26/2017,9/29/2017,Truck,Blueriver logistics,1,4900,3,1,,3,1,1,0
SHP0030,DR-4339,Hurricane,3005,Plastic Sheeting,Shelter,Protection,2000,1950,1900,DALLAS,Region VI,9/27/2017,10/1/2017,Truck,Safecover inc,6,11700,5,1,,4,1,6,0
SHP0031,DR-4339,Hurricane,4004,Portable Chargers,Power,Equipment,1000,980,950,DALLAS,Region VI,9/27/2017,10/3/2017,Truck,Powergrid supply,15,14700,6,1,,6,1,15,0
SHP0032,DR-4339,Hurricane,5005,Winter Hats,Shelter,Warmth,3000,3000,2980,ATLANTA,Region IV,9/28/2017,9/30/2017,Truck,Comfortco,8,24000,3,1,,2,1,8,0
SHP0033,DR-4339,Hurricane,6004,Infant Medicine,Medical,Infant Care,800,780,770,ATLANTA,Region IV,9/28/2017,10/2/2017,Truck,Careplus supply,4,3120,4,1,,4,1,4,0
SHP0034,DR-4339,Hurricane,7004,Medical Masks,Medical,Emergency,6000,6000,5980,DALLAS,Region VI,9/29/2017,10/1/2017,Truck,Medrelief inc,0.08,480,3,1,,2,1,0.08,0
SHP0035,DR-4339,Hurricane,8004,Emergency Lights,Power,Lighting,1500,1480,1450,DALLAS,Region VI,9/29/2017,10/4/2017,Truck,Powergrid supply,10,14800,5,1,,5,1,10,0
SHP0036,DR-4339,Hurricane,9004,Heavy-Duty Cords,Power,Accessories,1000,980,950,ATLANTA,Region IV,9/30/2017,10/2/2017,Truck,Powergrid supply,5,4900,3,1,,2,1,5,0
SHP0037,DR-4339,Hurricane,1005,Water Containers,Food & Water,Beverage,1800,1750,1700,ATLANTA,Region IV,9/30/2017,10/3/2017,Truck,Blueriver logistics,3,5250,3,1,,3,1,3,0
SHP0038,DR-4339,Hurricane,2007,Meal Packs,Food & Water,Meal,2500,2450,2400,ATLANTA,Region IV,10/1/2017,10/3/2017,Truck,Blueriver logistics,1.3,3185,3,1,,2,1,1.3,0
SHP0039,DR-4339,Hurricane,3006,Emergency Shelters,Shelter,Protection,500,480,470,DALLAS,Region VI,10/1/2017,10/6/2017,Truck,Safecover inc,40,19200,5,1,,5,1,40,0
SHP0040,DR-4339,Hurricane,4005,Solar Chargers,Power,Equipment,600,580,560,DALLAS,Region VI,10/2/2017,10/7/2017,Truck,Powergrid supply,20,11600,6,1,,5,1,20,0
SHP0041,DR-4339,Hurricane,5006,Thermal Blankets,Shelter,Warmth,3500,3500,3480,ATLANTA,Region IV,10/2/2017,10/5/2017,Truck,Comfortco,6,21000,3,1,,3,1,6,0
SHP0042,DR-4339,Hurricane,6005,Infant Kits,Medical,Infant Care,900,880,870,ATLANTA,Region IV,10/3/2017,10/6/2017,Truck,Careplus supply,3,2640,4,1,,3,1,3,0
SHP0043,DR-4339,Hurricane,7005,Medical Tape,Medical,Emergency,2000,2000,1980,DALLAS,Region VI,10/3/2017,10/6/2017,Truck,Medrelief inc,0.07,140,3,1,,3,1,0.07,0
SHP0044,DR-4339,Hurricane,8005,LED Lanterns,Power,Lighting,1200,1180,1150,DALLAS,Region VI,10/4/2017,10/8/2017,Truck,Powergrid supply,9,10620,5,1,,4,1,9,0
SHP0045,DR-4339,Hurricane,9005,Power Adapters,Power,Accessories,1600,1580,1550,ATLANTA,Region IV,10/4/2017,10/7/2017,Truck,Powergrid supply,4,6320,3,1,,3,1,4,0
SHP0046,DR-4339,Hurricane,1006,Water Pumps,Food & Water,Beverage,300,290,280,ATLANTA,Region IV,10/5/2017,10/9/2017,Truck,Blueriver logistics,60,17400,5,1,,4,1,60,0
SHP0047,DR-4339,Hurricane,2008,Meal Rations,Food & Water,Meal,4500,4400,4350,ATLANTA,Region IV,10/5/2017,10/8/2017,Truck,Blueriver logistics,1.4,6160,3,1,,3,1,1.4,0
SHP0048,DR-4339,Hurricane,3007,Storm Tarps,Shelter,Protection,2200,2150,2100,DALLAS,Region VI,10/6/2017,10/10/2017,Truck,Safecover inc,7,15050,5,1,,4,1,7,0
SHP0049,DR-4339,Hurricane,4006,Portable Generators,Power,Equipment,180,170,165,DALLAS,Region VI,10/6/2017,10/12/2017,Truck,Powergrid supply,500,85000,6,1,,6,1,500,0
SHP0050,DR-4339,Hurricane,5007,Insulated Jackets,Shelter,Warmth,2800,2800,2780,ATLANTA,Region IV,10/7/2017,10/9/2017,Truck,Comfortco,20,56000,3,1,,2,1,20,0
SHP0051,DR-4339,Hurricane,6006,Infant Food,Medical,Infant Care,1200,1180,1150,ATLANTA,Region IV,10/7/2017,10/11/2017,Truck,Careplus supply,2,2360,4,1,,4,1,2,0
SHP0052,DR-4339,Hurricane,7006,Medical Scissors,Medical,Emergency,900,900,890,DALLAS,Region VI,10/8/2017,10/10/2017,Truck,Medrelief inc,0.5,450,3,1,,2,1,0.5,0
SHP0053,DR-4339,Hurricane,8006,LED Floodlights,Power,Lighting,1400,1380,1350,DALLAS,Region VI,10/8/2017,10/13/2017,Truck,Powergrid supply,12,16560,5,1,,5,1,12,0
SHP0054,DR-4339,Hurricane,9006,Power Splitters,Power,Accessories,1100,1080,1050,ATLANTA,Region IV,10/9/2017,10/11/2017,Truck,Powergrid supply,3,3240,3,1,,2,1,3,0
