shipment_id,disaster_id,disaster_type,item_id,item_name,category,subcategory,quantity_requested,quantity_shipped,quantity_received,warehouse,region,ship_date,arrival_date,transport_mode,supplier,unit_cost,total_cost,delay_days,shortage_flag
SHP0001,DR-4339,Hurricane,1001,Water Bottles,Food & Water,Beverage,5000,4800,4700,Atlanta,Region IV,9/12/2017,9/15/2017,Truck,BlueRiver Logistics,0.5,2400,3,1
SHP0002,DR-4339,Hurricane,2003,Meal Kits,Food & Water,Meal,3000,3000,2950,Atlanta,Region IV,9/12/2017,9/16/2017,Truck,BlueRiver Logistics,1.2,3600,4,1
SHP0003,DR-4339,Hurricane,3002,Tarps,Shelter,Protection,1500,1500,1500,Dallas,Region VI,9/13/2017,9/17/2017,Truck,SafeCover Inc,3.5,5250,4,0
SHP0004,DR-4339,Hurricane,4001,Generators,Power,Equipment,200,180,175,Dallas,Region VI,9/13/2017,9/20/2017,Truck,PowerGrid Supply,450,81000,7,1
SHP0005,DR-4339,Hurricane,5002,Blankets,Shelter,Warmth,4000,4000,3980,Atlanta,Region IV,9/14/2017,9/17/2017,Truck,ComfortCo,2,8000,3,0
SHP0006,DR-4339,Hurricane,6001,Diapers,Medical,Infant Care,2500,2400,2380,Atlanta,Region IV,9/14/2017,9/18/2017,Truck,CarePlus Supply,0.3,720,4,1
SHP0007,DR-4339,Hurricane,7001,First Aid Kits,Medical,Emergency,1200,1200,1180,Dallas,Region VI,9/15/2017,9/19/2017,Truck,MedRelief Inc,5,6000,4,0
SHP0008,DR-4339,Hurricane,8001,Flashlights,Power,Lighting,1800,1750,1700,Dallas,Region VI,9/15/2017,9/21/2017,Truck,PowerGrid Supply,3,5250,6,1
SHP0009,DR-4339,Hurricane,9001,Batteries,Power,Accessories,5000,4900,4850,Atlanta,Region IV,9/16/2017,9/19/2017,Truck,PowerGrid Supply,0.8,3920,3,1
SHP0010,DR-4339,Hurricane,1002,Water Jugs,Food & Water,Beverage,3000,3000,3000,Atlanta,Region IV,9/16/2017,9/18/2017,Truck,BlueRiver Logistics,0.6,1800,2,0
SHP0011,DR-4339,Hurricane,2004,Meal Bars,Food & Water,Meal,4000,3900,3850,Atlanta,Region IV,9/17/2017,9/20/2017,Truck,BlueRiver Logistics,0.9,3510,3,1
SHP0012,DR-4339,Hurricane,3003,Tents,Shelter,Protection,800,780,770,Dallas,Region VI,9/17/2017,9/22/2017,Truck,SafeCover Inc,25,19500,5,1
SHP0013,DR-4339,Hurricane,4002,Portable Heaters,Power,Equipment,300,290,285,Dallas,Region VI,9/18/2017,9/24/2017,Truck,PowerGrid Supply,120,34800,6,1
SHP0014,DR-4339,Hurricane,5003,Winter Coats,Shelter,Warmth,2000,2000,1980,Atlanta,Region IV,9/18/2017,9/21/2017,Truck,ComfortCo,15,30000,3,0
SHP0015,DR-4339,Hurricane,6002,Baby Formula,Medical,Infant Care,1500,1450,1400,Atlanta,Region IV,9/19/2017,9/23/2017,Truck,CarePlus Supply,1.5,2175,4,1
SHP0016,DR-4339,Hurricane,7002,Medical Gloves,Medical,Emergency,5000,5000,4980,Dallas,Region VI,9/19/2017,9/22/2017,Truck,MedRelief Inc,0.1,500,3,0
SHP0017,DR-4339,Hurricane,8002,Lanterns,Power,Lighting,1000,980,950,Dallas,Region VI,9/20/2017,9/25/2017,Truck,PowerGrid Supply,8,7840,5,1
SHP0018,DR-4339,Hurricane,9002,Extension Cords,Power,Accessories,1500,1480,1450,Atlanta,Region IV,9/20/2017,9/23/2017,Truck,PowerGrid Supply,2,2960,3,1
SHP0019,DR-4339,Hurricane,1003,Water Tanks,Food & Water,Beverage,100,95,90,Atlanta,Region IV,9/21/2017,9/26/2017,Truck,BlueRiver Logistics,50,4750,5,1
SHP0020,DR-4339,Hurricane,2005,Meal Pouches,Food & Water,Meal,3500,3400,3350,Atlanta,Region IV,9/21/2017,9/24/2017,Truck,BlueRiver Logistics,1.1,3740,3,1
SHP0021,DR-4339,Hurricane,3004,Shelter Kits,Shelter,Protection,900,880,870,Dallas,Region VI,9/22/2017,9/27/2017,Truck,SafeCover Inc,30,26400,5,1
SHP0022,DR-4339,Hurricane,4003,Power Banks,Power,Equipment,1500,1450,1400,Dallas,Region VI,9/22/2017,9/28/2017,Truck,PowerGrid Supply,12,17400,6,1
SHP0023,DR-4339,Hurricane,5004,Comforters,Shelter,Warmth,2500,2500,2480,Atlanta,Region IV,9/23/2017,9/26/2017,Truck,ComfortCo,18,45000,3,0
SHP0024,DR-4339,Hurricane,6003,Baby Wipes,Medical,Infant Care,3000,2950,2900,Atlanta,Region IV,9/23/2017,9/27/2017,Truck,CarePlus Supply,0.2,590,4,1
SHP0025,DR-4339,Hurricane,7003,Bandages,Medical,Emergency,4000,4000,3980,Dallas,Region VI,9/24/2017,9/27/2017,Truck,MedRelief Inc,0.05,200,3,0
SHP0026,DR-4339,Hurricane,8003,LED Lights,Power,Lighting,2000,1950,1900,Dallas,Region VI,9/24/2017,9/30/2017,Truck,PowerGrid Supply,4,7800,6,1
SHP0027,DR-4339,Hurricane,9003,Power Strips,Power,Accessories,1800,1750,1700,Atlanta,Region IV,9/25/2017,9/28/2017,Truck,PowerGrid Supply,3,5250,3,1
SHP0028,DR-4339,Hurricane,1004,Water Filters,Food & Water,Beverage,1200,1180,1150,Atlanta,Region IV,9/25/2017,9/29/2017,Truck,BlueRiver Logistics,2.5,2950,4,1
SHP0029,DR-4339,Hurricane,2006,Protein Bars,Food & Water,Meal,5000,4900,4850,Atlanta,Region IV,9/26/2017,9/29/2017,Truck,BlueRiver Logistics,1,4900,3,1
