shipment_id,disaster_id,disaster_type,item_id,item_name,category,subcategory,quantity_requested,quantity_shipped,quantity_received,warehouse,region,ship_date,arrival_date,transport_mode,supplier,unit_cost,total_cost,delay_days,shortage_flag
SHP0001,DR-4339,Hurricane,1001,Water Bottles,Food & Water,Beverage,5000,4800,4700,Atlanta,Region IV,2017-09-12,2017-09-15,Truck,BlueRiver Logistics,0.50,2400,3,1
SHP0002,DR-4339,Hurricane,2003,Meal Kits,Food & Water,Meal,3000,3000,2950,Atlanta,Region IV,2017-09-12,2017-09-16,Truck,BlueRiver Logistics,1.20,3600,4,1
SHP0003,DR-4339,Hurricane,3002,Tarps,Shelter,Protection,1500,1500,1500,Dallas,Region VI,2017-09-13,2017-09-17,Truck,SafeCover Inc,3.50,5250,4,0
SHP0004,DR-4339,Hurricane,4001,Generators,Power,Equipment,200,180,175,Dallas,Region VI,2017-09-13,2017-09-20,Truck,PowerGrid Supply,450,81000,7,1
SHP0005,DR-4339,Hurricane,5002,Blankets,Shelter,Warmth,4000,4000,3980,Atlanta,Region IV,2017-09-14,2017-09-17,Truck,ComfortCo,2.00,8000,3,0
SHP0006,DR-4339,Hurricane,6001,Diapers,Medical,Infant Care,2500,2400,2380,Atlanta,Region IV,2017-09-14,2017-09-18,Truck,CarePlus Supply,0.30,720,4,1
SHP0007,DR-4339,Hurricane,7001,First Aid Kits,Medical,Emergency,1200,1200,1180,Dallas,Region VI,2017-09-15,2017-09-19,Truck,MedRelief Inc,5.00,6000,4,0
SHP0008,DR-4339,Hurricane,8001,Flashlights,Power,Lighting,1800,1750,1700,Dallas,Region VI,2017-09-15,2017-09-21,Truck,PowerGrid Supply,3.00,5250,6,1
SHP0009,DR-4339,Hurricane,9001,Batteries,Power,Accessories,5000,4900,4850,Atlanta,Region IV,2017-09-16,2017-09-19,Truck,PowerGrid Supply,0.80,3920,3,1
SHP0010,DR-4339,Hurricane,1002,Water Jugs,Food & Water,Beverage,3000,3000,3000,Atlanta,Region IV,2017-09-16,2017-09-18,Truck,BlueRiver Logistics,0.60,1800,2,0
SHP0011,DR-4339,Hurricane,2004,Meal Bars,Food & Water,Meal,4000,3900,3850,Atlanta,Region IV,2017-09-17,2017-09-20,Truck,BlueRiver Logistics,0.90,3510,3,1
SHP0012,DR-4339,Hurricane,3003,Tents,Shelter,Protection,800,780,770,Dallas,Region VI,2017-09-17,2017-09-22,Truck,SafeCover Inc,25.00,19500,5,1
SHP0013,DR-4339,Hurricane,4002,Portable Heaters,Power,Equipment,300,290,285,Dallas,Region VI,2017-09-18,2017-09-24,Truck,PowerGrid Supply,120.00,34800,6,1
SHP0014,DR-4339,Hurricane,5003,Winter Coats,Shelter,Warmth,2000,2000,1980,Atlanta,Region IV,2017-09-18,2017-09-21,Truck,ComfortCo,15.00,30000,3,0
SHP0015,DR-4339,Hurricane,6002,Baby Formula,Medical,Infant Care,1500,1450,1400,Atlanta,Region IV,2017-09-19,2017-09-23,Truck,CarePlus Supply,1.50,2175,4,1
SHP0016,DR-4339,Hurricane,7002,Medical Gloves,Medical,Emergency,5000,5000,4980,Dallas,Region VI,2017-09-19,2017-09-22,Truck,MedRelief Inc,0.10,500,3,0
